Título atribuído	Outras remetências de título:	Categorias	Material original	Ano	País	Cidade	Estado	Sinopse	Termos descritores	Descritores secundários	Termos geográficos	Produção	Conteúdo examinado	Fontes utilizadas:	Fontes consultadas:	Observações:
CINE JORNAL BRASILEIRO. V.2, N.170	CINE JORNAL BRASILEIRO. 2x170; EDIFÍCIOS PÚBLICOS; EDIÇÃO ESPECIAL	Cinejornal / Sonoro / Não ficção	35mm, BP, 14min, 385m, 24q	1942	BR	Rio de Janeiro	DF	"Realizações Governamentais: Edifícios Públicos."	Urbanismo	Serviço Nacional de Doenças Mentais; Ministério da Agricultura, Rio de Janeiro DF; Ministério da Fazenda, Rio de Janeiro DF; Esplanada do Castelo, Rio de Janeiro DF; Ministério do Trabalho, Rio de Janeiro DF; Palácio da Cultura, Rio de Janeiro DF; Engenho de Dentro, Rio de Janeiro DF; Jacarepaguá, Rio de Janeiro DF; Instituto Profissional Quinze de Novembro, Rio de Janeiro DF; Colônia Juliano Moreira, Rio de Janeiro - DF; Sanatório Azevedo Lima, Rio de Janeiro - DF; Colônia Gustavo Riedel, Rio de Janeiro - DF	Rio de Janeiro - DF; Niterói - DF	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		Certamente distribuido pela Cooperativa Cinematográfica Brasileira, embora as fontes não informem.
CINE JORNAL BRASILEIRO. V.2, N.171	CINE JORNAL BRASILEIRO. 2x171	Cinejornal / Sonoro / Não ficção	35mm, BP, 10min, 300m, 24q	1942	BR	Rio de Janeiro	DF	"No Dia do Reservista - Rio: A Polícia Militar faz algumas demonstrações de seu preparo." "No Teatro Municipal - Rio: Recebem diplomas as novas voluntárias da Defesa Passiva Anti-Aérea."	Efeméride; Polícia; Solenidade; Aeronáutica; Igreja Católica; Monumento; Exército; Manifestação; Futebol; Assistência Social; Brinquedo; Criança	Polícia Militar do Distrito Federal; Dia do Reservista; LBA - Legião Brasileira de Assistência; Campeonato Brasileiro de Futebol; SP; Natal; Teatro Municipal do Rio de Janeiro - DF; Monumento ao Cristo Redentor, São João del Rei - MG; Palácio Tiradentes, Rio de Janeiro - DF; Palácio da Guerra, Rio de Janeiro - DF; Estádio Vasco da Gama; Palácio do Catete, Rio de Janeiro - DF	Rio de Janeiro - DF; São João del Rei - MG	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		Certamente distribuido pela Cooperativa Cinematográfica Brasileira, embora as fontes não informem. O <Estádio Vasco da Gama> também é conhecido como <Estádio São Januário>.
CINE JORNAL BRASILEIRO. V.2, N.172	CINE JORNAL BRASILEIRO. 2x172	Cinejornal / Sonoro / Não ficção	35mm, BP, 11min, 313m, 24q	1943	BR	Rio de Janeiro	DF	"Realizações Governamentais: Edifícios Públicos II."	Urbanismo	Centro Nacional de Ensino e Pesquisas Agronômicas; Santa Cruz; Instituto de Ecologia Agrícola; Polícia Marítima do Distrito Federal; Colônia Penal Agrícola da Ilha Grande - DF; Imprensa Nacional, Rio de Janeiro - DF; Alfândega, Rio de Janeiro - DF; Penitenciária de Mulheres, Rio de Janeiro - DF; INT - Instituto Nacional de Tecnologia, Rio de Janeiro - DF; Instituto de Caça e Pesca, Rio de Janeiro - DF; Entreposto Federal de Pesca, Rio de Janeiro - DF; Presídio do Distrito Federal, Rio de Janeiro - DF; Sanatório Penal, Rio de Janeiro - DF; Estrada de Ferro Central do Brasil, Rio de Janeiro - DF; Estação D. Pedro II, Rio de Janeiro - DF	Ilha Grande - DF; Bangu, Rio de Janeiro - DF	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		Certamente distribuido pela Cooperativa Cinematográfica Brasileira, embora as fontes não informem. Este é o antigo X-1.
CINE JORNAL BRASILEIRO. V.2, N.173	CINE JORNAL BRASILEIRO. 2x173	Cinejornal / Sonoro / Não ficção	35mm, BP, 11min, 301m, 24q	1942	BR	Rio de Janeiro	DF	"No Campo do Russel - Rio: A juventude escolar brasileira dedica ao presidente Getúlio Vargas imponente missa campal." "No Palácio do Comércio - Rio: Toma posse a nova diretoria da Associação Comercial."	Missa; Juventude; Solenidade; Comércio; Aviação; Solenidade; Pesca; Ensino; Embarcação; Obra Pública; Cinema; Solenidade; Marinha; Hipismo	Associação Comercial; IL; Barco-Escola Presidente Vargas; Cooperativa Cinematográfica Brasileira; Fuzileiros Navais; Campo do Russel, Rio de Janeiro - DF; Palácio do Comércio, Rio de Janeiro - DF	Parque da Gávea, Rio de Janeiro - DF; Ilha das Cobras, Rio de Janeiro - DF	"Na Ilha das Cobras - Rio: Os fuzileiros navais despedem-se festivamente do ano." "Hipismo - Rio: É encerrada brilhantemente a temporada de 1942."	S	Material examinado CENS/II		Certamente distribuido pela Cooperativa Cinematográfica Brasileira, embora as fontes não informem.
CINE JORNAL BRASILEIRO. V.2, N.174	CINE JORNAL BRASILEIRO. 2x174	Cinejornal / Sonoro / Não ficção	35mm, BP, 9min, 258m, 24q	1943	BR	Rio de Janeiro	DF	"No Palácio Itamarati - Rio: É instalada a Comissão Militar Mista Brasil-Estados Unidos." "Na ABI - Rio: O pintor Gilberto Trompowski expõe seus trabalhos mais recentes."	Exército; Exposição; Pintura; Solenidade; Exército; Rádio; Morte; Efeméride	US; Comissão Militar Mista Brasil-Estados Unidos; Trompowski, Gilberto; Portinari, Candido; Batalhão de Guardas; Rádio Nacional; Franco, Afrânio de Melo; Ano Novo; Palácio do Itamarati, Rio de Janeiro - DF; ABI - Associação Brasileira de Imprensa, Rio de Janeiro - DF; Palácio Itamarati, Rio de Janeiro - DF	Rio de Janeiro - DF	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	CENS/II JIMS/OESP		
CINE JORNAL BRASILEIRO. V.2, N.175	CINE JORNAL BRASILEIRO. 2x175	Cinejornal / Sonoro / Não ficção	35mm, BP, 10min, 291m, 24q	1943	BR	Rio de Janeiro	DF	"No Palácio do Catete - Rio: Apresenta credenciais o novo Embaixador da Espanha, sr. Pedro Garcia Conde." "A Reserva do Exército - Rio: Reabrem-se os cursos do Centro de Preparação dos Oficiais da Reserva."	Diplomacia - ES; Exército; Ensino; Indústria; Extrativismo; Governo Federal; Artes Plásticas; Exposição; Juventude; Urbanismo; Solenidade; Exército; Medicina	CPOR - Centro de Preparação de Oficiais da Reserva; Companhia Vale do Rio Doce; Salão de Arte Juvenil, 2; US; PG; Guerra Mundial, 2; Palácio do Catete, Rio de Janeiro - DF; Palácio do Comércio, Rio de Janeiro - DF; ABI - Associação Brasileira de Imprensa, Rio de Janeiro - DF; Copacabana, Rio de Janeiro - DF; Faculdade Nacional de Medicina, Rio de Janeiro - DF	Leme, Rio de Janeiro - DF; Botafogo, Rio de Janeiro - DF; Túnel do Leme, Rio de Janeiro - DF	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		Data do certificado estabelecido a partir da cópia. Produzidas 6 cópias, segundo CP.
CINE JORNAL BRASILEIRO. V.2, N.176	CINE JORNAL BRASILEIRO. 2x176; EDIÇÃO ESPECIAL	Cinejornal / Sonoro / Não ficção	35mm, BP, 11min, 310m, 24q	1943	BR	Rio de Janeiro	DF	"Exposição do Estado Nacional: Uma visão das conquistas do povo brasileiro em cinco anos de unidade e ação. (placas : Salário Mínimo; Sindicalização; Imprensa Nacional; Exército Brasileiro; Cruz Vermelha; Estabelecimento de Material de Intendência do Rio; Escola Militar; Escola Naval; Ministério da Agricultura; Siderúrgica; Navegação Fluvial; DIP; Divisão de Cinema e Teatro; Teatro; Cinema; O Rádio no Estado Nacional; Obras editadas e distribuidas durante o qüinqüênio; Divisão de Turismo; Agência Nacional; Departamento Nacional de Obras de Saneamento; Secretaria Geral de Educação e Cultura; Avenida Brasil; Avenida Tijuca)"	Exposição	Museu Nacional de Belas Artes, Rio de Janeiro - DF; Exposição do Quinquênio do Estado Nacional	Rio de Janeiro - DF	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		
CINE JORNAL BRASILEIRO. V.2, N.177	CINE JORNAL BRASILEIRO. 2x177	Cinejornal / Sonoro / Não ficção	35mm, BP, 12min, 328m, 24q	1943	BR	Rio de Janeiro	DF	"Meio Século de Fecunda Atividade - Rio: O Regimento de Cavalaria da Polícia Militar comemora o 53o. aniversário de sua fundação." "Na ABI - Rio: É instalada a Comissão Federal de Preços."	Solenidade; Exército; Economia; Exposição; Pintura; Visita Estrangeira - UY; Monumento; Assistência Social; Extrativismo; Indústria	ABI - Associação Brasileira de Imprensa, Rio de Janeiro - DF; Museu Nacional de Belas Artes , Rio de Janeiro - DF; Monumento Herói da Lapa, Rio de Janeiro - DF; Palácio da Guerra, Rio de Janeiro - DF; Regimento de Cavalaria da Polícia Militar; Comissão Federal de Preços; BE; Wambach, Georges; Liga da Defesa Nacional; Natal; Borracha; Guerra Mundial, 2	Rio de Janeiro - DF	Termos descritores Solenidade; Exército; Economia; Exposição; Pintura; Visita Estrangeira - UY; Monumento; Assistência Social; Extrativismo; Indústria	S	Material examinado CENS/II		Produzidas 6 cópias, segundo CP.
CINE JORNAL BRASILEIRO. V.2, N.178	CINE JORNAL BRASILEIRO. 2x178	Cinejornal / Sonoro / Não ficção	35mm, BP, 12min, 328m, 24q	1943	BR	Rio de Janeiro	DF	"No Campo de S. Cristovão - Rio: A solenidade da declaração de novos aspirantes a oficiais da reserva."	Solenidade; Exército; Governo Estadual; Esgrima; Efeméride; Guerra Mundial, 2; Mulher; Exército	Aeroporto Santos Dumont, Rio de Janeiro - DF; CPOR - Centro de Preparação de Oficiais da Reserva; Escola de Educação Física do Exército; Campeonato de Esgrima do Exército; Aniversário de São Paulo; Regimento de Infantaria, 2; LBA - Legião Brasileira de Assistência; Cruz Vermelha Brasileira	Campo de São Cristovão, Rio de Janeiro - DF; Rio de Janeiro - DF	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		Certificado de censura estabelecido a partir da cópia. Produzidas 6 cópias, segundo CP.
CINE JORNAL BRASILEIRO. V.2, N.179	CINE JORNAL BRASILEIRO. 2x179	Cinejornal / Sonoro / Não ficção	35mm, BP, 11min, 316m, 24q	1943	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		Certamente distribuido pela Cooperativa Cinematográfica Brasileira, embora as fontes não informem. Produzidas 6 cópias, segundo CP.
