Título atribuído	Outras remetências de título:	Categorias	Material original	Ano	País	Cidade	Estado	Sinopse	Termos descritores	Descritores secundários	Termos geográficos	Produção	Conteúdo examinado	Fontes utilizadas:	Fontes consultadas:	Observações:
CINE JORNAL BRASILEIRO. V.1, N.084		Cinejornal / Sonoro / Não ficção	35mm, BP, 211m, 24q	1940	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	N	CENS/II Cinédia/Arquivo		Realizado inteiramente pela <Cinédia> S.A.
CINE JORNAL BRASILEIRO. V.1, N.085	CINE JORNAL BRASILEIRO. N.085	Cinejornal / Sonoro / Não ficção	35mm, BP, 199m, 24q	1940	BR	Rio de Janeiro	DF	O Instituto Butantã. Serpentário, coleta de veneno, Museu, coleção de borboletas, aranhas venenosas, fabricação de soro anti-ofídico, exportação de vacinas e as cobras que comem cobras.	Ciência; Instituto Butantã	Serpente; Aranha; Farmácia; Vacina	São Paulo - SP	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CB/FB		Realizado inteiramente pela <Cinédia> S.A.
CINE JORNAL BRASILEIRO. V.1, N.086		Cinejornal / Sonoro / Não ficção	35mm, BP, 268m, 24q	1940	BR	Rio de Janeiro	DF	"Aparelhando a agricultura nacional - Rio: a demonstração de um extrator de cera de carnaúba." Getulio e autoridades examinam o funcionamento da máquina. "Carnaval Carioca - Rio: Um 'banho a fantasia' na praia de Copacabana." Multidão na rua, grupos fantasiados, destaque para meninos e meninas com fantasias, um bar com mesas na calçada.	Agricultura; Extrativismo; Carnaval; Cinema; Diplomacia - CO; Imprensa; Conferência	Carnaúba; Indústria; DIP - Departamento de Imprensa e Propaganda; Concurso de Complementos Nacionais, 2; Palácio do Catete; Palácio Tiradentes; Conselho Nacional de Imprensa; Conselho Municipal, Rio de Janeiro - DF; Conferência Interamericana de Neutralidade; Guerra Mundial, 2	Praia de Copacabana; Rio de Janeiro - DF	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CB/FI		Realizado inteiramente pela <Cinédia> S.A.
CINE JORNAL BRASILEIRO. V.1, N.087	CINE JORNAL BRASILEIRO. N.087	Cinejornal / Sonoro / Não ficção	35mm, BP, 7min, 211m, 24q	1940	BR	Rio de Janeiro	DF	"Diplomacia - Rio: Segue para Londres o novo Embaixador do Brasil."	Diplomacia; Embarcação; Igreja Católica; Teatro; Carnaval; Geografia; Exposição; Avicultura	GB; Conte Grande - embarcação; Catedral Metropolitana do Rio de Janeiro; Procissão; Confederação dos Escoteiros Católicos; Teatro Municipal do Rio de Janeiro - DF; Secretaria da Agricultura do Rio de Janeiro; Feira Permanente de Produtos do Estado do Rio	Avenida Niemeyer, Rio de Janeiro - DF; Rio de Janeiro - DF; Petrópolis - RJ	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/I		Realizado inteiramente pela <Cinédia> S.A.
CINE JORNAL BRASILEIRO. V.1, N.088	CINE JORNAL BRASILEIRO. N.088	Cinejornal / Sonoro / Não ficção	35mm, BP, 151m, 24q	1940	BR	Rio de Janeiro	DF	"Na Quinta da Boa Vista - Rio: Os marítimos promovem um 'churrasco' em regozijo pelo progresso da marinha mercante." "Assistência aos Escolares - Rio: É inaugurado o Centro Médico Pedagógico 'Oswaldo Cruz'."	Marinha; Ensino; Hospital; Obra pública; Saneamento; Turismo; Ciência	Quinta da Boa Vista; Centro Médico Pedagógico Osvaldo Cruz; Secretaria de Educação e Saúde do Distrito Federal; Adutora Ribeirão das Lages; Reservatório do Pedregulho; Castelo d'Água de Inhaúma; Instituto Butantã	São Cristóvão, Rio de Janeiro - DF; Inhaúma, Rio de Janeiro - DF; Morro do Pão de Açúcar; Morro do Corcovado; Rio de Janeiro - DF; São Paulo - SP	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		Realizado inteiramente pela <Cinédia> S.A.
CINE JORNAL BRASILEIRO. V.1, N.089	CINE JORNAL BRASILEIRO. N.089	Cinejornal / Sonoro / Não ficção	35mm, BP, 282m, 24q	1940	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	N	CENS/II Cinédia/Arquivo		Realizado inteiramente pela <Cinédia> S.A.
CINE JORNAL BRASILEIRO. V.1, N.090	CINE JORNAL BRASILEIRO. 1x90	Cinejornal / Sonoro / Não ficção	35mm, BP, 282m, 24q	1940	BR	Rio de Janeiro	DF	"No Palácio Rio Negro - Petrópolis: O Presidente Getulio Vargas recebe o Cardeal Dougherty." "Confraternização Militar - Rio: a Festa oferecida pelo Batalhão de Guardas do 3o. R.I."	Igreja Católica; Visita estrangeira; Exército; Ensino; Turismo; Cinema; Exposição; Jardinagem; Horticultura	Palácio Rio Negro; Regimento de Infantaria, 3; Escola Minas Gerais, Rio de Janeiro - DF; DIP - Departamento de Imprensa e Propaganda; Concurso de Complementos Nacionais, 1; Secretaria da Agricultura do Rio de Janeiro; Exposição de Flores e Frutos, 1, Petrópolis	Petrópolis - RJ; Rio de Janeiro - DF	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		Realizado inteiramente pela <Cinédia> S.A.
CINE JORNAL BRASILEIRO. V.1, N.091		Cinejornal / Sonoro / Não ficção	35mm, BP, 296m, 24q	1940	BR	Rio de Janeiro	DF	"De Buenos Aires - Rio: Regressa o presidente do Instituto Nacional do Mate." "Diplomacia - Rio: O ministro da Hungria é carinhosamente recebido pelos seus compatriotas."	Agricultura; Diplomacia - HU; Ferrovia; Indústria; Música; Efeméride; Visita estrangeira - US; Economia; Pesca; Aviação	Instituto Nacional do Mate; AR; Mate; Imigração - Hu; Estrada de Ferro Central do Brasil; Oficina de Engenho de Dentro; Manoel, Francisco; Câmara do Comércio de São Francisco; Cooperativismo; Palácio Rio Negro	Rio de Janeiro - DF; Petrópolis - RJ	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		Realizado inteiramente pela <Cinédia> S.A.
CINE JORNAL BRASILEIRO. V.1, N.092		Cinejornal / Sonoro / Não ficção	35mm, BP, 245m, 24q	1940	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	N	CENS/II Cinédia/Arquivo		Realizado inteiramente pela <Cinédia> S.A.
CINE JORNAL BRASILEIRO. V.1, N.093	CINE JORNAL BRASILEIRO. 1x93	Cinejornal / Sonoro / Não ficção	35mm, BP, 280m, 24q	1940	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	N	CENS/II Cinédia/Arquivo		Realizado inteiramente pela <Cinédia> S.A. Apresentado no Metro (São Paulo) com o número 63, que a fonte JIMS/OESP acredita estar errado.
CINE JORNAL BRASILEIRO. V.1, N.094	CINE JORNAL BRASILEIRO. 1-94	Cinejornal / Sonoro / Não ficção	35mm, BP, 300m, 24q	1940	BR	Rio de Janeiro	DF	"Castro Alves - Rio: Comemorações pelo aniversário de nascimento do grande poeta." "Administração Pública - Rio: Mais um concurso promovido pelo DaSP."	Efeméride; Literatura; Concurso; Funcionalismo público; Música popular brasileira; Solenidade; Ensino; Saúde; Governo Federal; Governo Estadual; Obra pública	Alves, Castro; Herma de Castro Alves, Rio de Janeiro - DF; Departamento Administrativo do Serviço Público; DIP - Departamento de Imprensa e Propaganda; Concurso de Música Popular; Jockey Clube do Rio de Janeiro; Fundação Rockefeller; Instituto de Educação do Distrito Federal; Centro Médico Pedagógico; Previdência Social; Instituto de Aposentadoria e Pensões dos Trabalhadores em Transportes e Cargas; Instituto de Aposentadoria e Pensões dos Industriários; Habitação; Assistência Social; Casa da Criança Inválida; Caixa Econômica Federal; Frigoríficos Nacionais	Rio de Janeiro - DF; Palácio do Comércio, Porto Alegre - RS; Vila Operária, Porto Alegre - RS; Vila Bancária, Porto Alegre - RS; Porto Alegre - RS	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		Realizado inteiramente pela <Cinédia> S.A.
CINE JORNAL BRASILEIRO. V.1, N.095		Cinejornal / Sonoro / Não ficção	35mm, BP, 352m, 24q	1940	BR	Rio de Janeiro	DF	"Escola Militar do Brasil." "Da academia Real Militar, fundada por D. João VI, em 23 de abril de 1811, a atual Escola Militar em Realengo, varias gerações têm sido forjadas para o engrandecimento do Brasil e para a defesa da Patria."	Exército; Ensino; Escola Militar do Realengo	Departamento de Educação Física do Exército; Academia Real Militar; João VI, rei de Portugal; Ferrovia; Atletismo; Saúde	Realengo, Rio de Janeiro - DF; Rio de Janeiro - DF	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CB/FI		Realizado inteiramente pela <Cinédia> S.A. CENS/I informa que foram produzidas 11 cópias.
CINE JORNAL BRASILEIRO. V.1, N.096	CINE JORNAL BRASILEIRO. N.096	Cinejornal / Sonoro / Não ficção	35mm, BP, 246m, 24q	1940	BR	Rio de Janeiro	DF	"No Distrito Federal - Rio: Um domingo na Barra da Tijuca." "No Entreposto de Pesca - Rio: Grande concorrência por ocasião da Semana Santa." Por meio do entreposto de pesca, o ministério intervém no mercado de peixe para que o preço se mantenha estável na Semana Santa.	Lazer; Pesca; Comércio; Ferrovia; Exército; Ensino; Indústria; Metalurgia; Governo Federal	Entreposto Federal de Pesca; Páscoa; Cais do Porto, Rio de Janeiro - DF; Estrada de Ferro Central do Brasil; Região Militar, 3; Campo de Manobras de Saican; Ministério da Viação; Comissão do Plano Siderúrgico; Aeroporto Santos Dumont; Fazenda Santos Reis	Barra da Tijuca, Rio de Janeiro - DF; Rio de Janeiro - DF; São Simão - RS; São Borja - RS	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CB/FI		Realizado inteiramente pela <Cinédia> S.A.
CINE JORNAL BRASILEIRO. V.1, N.097	CINE JORNAL BRASILEIRO. N.097	Cinejornal / Sonoro / Não ficção	35mm, BP, 360m, 24q	1940	BR	Rio de Janeiro	DF	"'Soldados do Brasil! Nos dias incertos que atravessa o Mundo, a Nação tem os olhos postos em Vós. Sois a garantia do progresso e da paz estável e digna.' Getúlio Vargas." Desfile de tropas e veículos militares no Rio Grande do Sul com a presença de Getulio Vargas e Eurico Gaspar Dutra, almoço ao ar livre e embarque em avião.	Exército; Ensino	Região Militar, 3; Campo de Manobras de Saican	Santa Maria - RS; Rio Cacequi - RS; Rio Santa Maria - RS	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CB/FI		Realizado inteiramente pela <Cinédia> S.A.
CINE JORNAL BRASILEIRO. V.1, N.098		Cinejornal / Sonoro / Não ficção	35mm, BP, 24q	1940	BR	Rio de Janeiro	DF	Bênção das espadas dos guardas-marinha da turma de 1939, na matriz de N.S. da Candelária. Construção do quartel do 38o. Batalhão de Caçadores pelo Serviço de Engenharia da 5a. Região Militar.	Ensino; Marinha; Exército; Exposição; Desenho; Diplomacia - JP; Filantropia; Rádio	Guarda-marinha; Serviço de Engenharia; Região Militar, 5; Batalhão de Caçadores, 38; Instituto de Resseguros do Brasil; Museu Nacional de Belas Artes; Minas Tenis Clube; Indústria; Escola Militar do Realengo; Encouraçado Minas Gerais; Fazenda do Bonfim; DIP - Departamento de Imprensa e Propaganda; Abrigo de Menores	Igreja da Candelaria; Realengo, Rio de Janeiro - DF; Rio de Janeiro - DF; Belo Horizonte - MG; Petrópolis - RJ	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CB/FI		Realizado inteiramente pela <Cinédia> S.A. Intertítulos criados a partir das informações de material sonoro.
CINE JORNAL BRASILEIRO. V.1, N.099	CINE JORNAL BRASILEIRO. N.099	Cinejornal / Sonoro / Não ficção	35mm, BP, 293m, 24q	1940	BR	Rio de Janeiro	DF	Escola de Aviação Naval entrega brevês para a turma de 1939. O ministro da Marinha prestigia o evento que finaliza com juramento à bandeira. No Aeroporto Santos Dumont, a chegada da "Esquadrilha da Boa Vontade", integrada por aviões da Aeronáutica Militar Peruana, sob o comando do cel. Antonio Revoredo.	Ensino; Aeronáutica; Marinha; Indústria; Aviação; Exército; Ferrovia; Obra pública; Visita estrangeira - PE	Escola de Aviação Naval; Aviador Naval; Aeroporto Santos Dumont; Esquadrilha da Boa Vontade; Aeronáutica Militar Peruana; US; Fazenda Azul, Quaraí - RS; Ovelha; Estrada de Ferro Central do Brasil	Cais do Porto, Rio de Janeiro - DF; Rio de Janeiro - DF; Quarai - RS	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CB/FB		Realizado inteiramente pela <Cinédia> S.A. Intertítulos estabelecidos a partir das informações de material sonoro. Provavelmente ainda falta um assunto a este documento.
CINE JORNAL BRASILEIRO. V.1, N.100	CINE JORNAL BRASILEIRO. N.100	Cinejornal / Sonoro / Não ficção	35mm, BP, 265m, 24q	1940	BR	Rio de Janeiro	DF	"Estrada Getúlio Vargas." "Obra extraordinária da engenharia brasileira, a Estrada Getulio Vargas ligará a cidade de Porto alegre a Capital Baiana, numa extensão aproximada de dois mil e quinhentos quilometros."	Rodovia; Obra pública; Engenharia; Estrada Getulio VargasEnsinoPorto alegre	Exército; Batalhão Rodoviário, 3; Batalhão Rodoviário, 2; Escola Rodoviária, DNER; Departamento Nacional de Estradas de Rodagem	Vacaria - RS; Lagoa Vermelha - RS; Passo do Socorro - RS; Lajes - SC; Salvador - BA	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		Realizado inteiramente pela <Cinédia> S.A. A numeração atribuída a este cinejornal é aproximada. Os únicos elementos identificadores que possuímos são a visita de Vargas ao Rio Grande do Sul neste período e o seu aniversário em abril.
CINE JORNAL BRASILEIRO. V.1, N.101	CINE JORNAL BRASILEIRO. N.101	Cinejornal / Sonoro / Não ficção	35mm, BP, 8min, 235m, 24q	1940	BR	Rio de Janeiro	DF	"Para a Exposição de Portugal - Rio: O General Francisco José Pinto examina o material da representação brasileira." "Aviação - Rio: Um salto de para-quedas sobre a Baia da Guanabara."	Exposição; Pára-quedismo; Música erudita; Comunismo; Polícia; Política; Efeméride	PT; Exposição; Centenários de Portugal; Marinha; Base de Aviação Naval; Fauré, Gabriel; Chefatura de Polícia, Rio de Janeiro - DF; Aeroporto Santos Dumont; Partido Comunista Brasileiro; Aniversario Getulio Vargas; Rádio; Hora do Brasil	Baía da Guanabara; Rua da Relação, Rio de Janeiro - DF; Rio de Janeiro - DF	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II	JMC/PCP	Realizado inteiramente pela <Cinédia> S.A.
CINE JORNAL BRASILEIRO. V.1, N.102	CINE JORNAL BRASILEIRO. N.102	Cinejornal / Sonoro / Não ficção	35mm, BP, 164m, 24q	1940	BR	Rio de Janeiro	DF	"A visita do Chefe do Governo a cidade de Araxá." "Durante sua excursão ao Triangulo Mineiro o presidente Getulio Vargas percorre os arredores da cidade de Araxá."	Governo Federal; Governo Estadual; Obra Pública; Araxá - MG	Comércio; Posto Esso; Escola; Pecuária; Zebu; Usina Hidrelétrica	Triangulo Mineiro - MG; Araxá - MG	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		Realizado inteiramente pela <Cinédia> S/A.
CINE JORNAL BRASILEIRO. V.1, N.103	CINE JORNAL BRASILEIRO. N.103	Cinejornal / Sonoro / Não ficção	35mm, BP, 158m, 24q	1940	BR	Rio de Janeiro	DF	"A visita do Chefe do Governo a Uberaba."	Governo Federal; Uberaba - MG		Uberaba - MG	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	N	CENS/II Cinédia/Arquivo		Realizado inteiramente pela <Cinédia> S.A. Produzidas 6 cópias, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.104	CINE JORNAL BRASILEIRO. N.104	Cinejornal / Sonoro / Não ficção	35mm, BP, 222m, 24q	1940	BR	Rio de Janeiro	DF	"O Chefe da Nação no Estado de São Paulo." "Prosseguindo na série de excursões que vem realizando aos estados do país, o presidente Getulio Vargas visita a capital de São Paulo."	Governo Federal; Governo Estadual; São Paulo - SP	Palacio dos Campos Elíseos; Indústria; Pneu; Companhia Goodyear do Brasil; Ensino; Parque Infantil; Hospital Dona Leonor Mendes de Barros; Hospital Sanatório do Mandaqui	Campos Elíseos, São Paulo - SP; Mandaqui, São Paulo - SP	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		Realizado inteiramente pela <Cinédia> S.A.
CINE JORNAL BRASILEIRO. V.1, N.105	CINE JORNAL BRASILEIRO. N.105, V.I	Cinejornal / Sonoro / Não ficção	35mm, BP, 222m, 24q	1940	BR	Rio de Janeiro	DF	"A Inauguração do Estadio do Pacaembu." "Durante a sua permanência na capital de São Paulo, o presidente Getulio Vargas inaugura o Estadio do Pacaembu e assiste a uma parada militar realizada em sua homenagem."	Governo Federal; Obra pública; Esporte	Estadio Municipal do Pacaembu; Natação; Esgrima; Atletismo; E.C. Corínthians; Cine art-Palacio; Corpo de Bombeiros; Guarda Civil	Pacaembu, São Paulo - SP; Avenida São João, São Paulo - SP; Largo do Paissandu, São Paulo - SP; São Paulo - SP	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		Realizado inteiramente pela <Cinédia> S.A.
CINE JORNAL BRASILEIRO. V.1, N.106	CINE JORNAL BRASILEIRO. N.106	Cinejornal / Sonoro / Não ficção	35mm, BP, 214m, 24q	1940	BR	Rio de Janeiro	DF	"Colégio Militar - Rio: as festas comemorativas do 51o.aniversario." Entrega de medalhas e desfile. "Marinha de Guerra - Rio: O Monitor 'Paraguassu' é incorporado a Esquadra."	Ensino; Exército; Marinha; Embarcação; Igreja Católica; Imprensa; Efeméride	Colégio Militar; Esporte; Paraguassu - embarcação; Catedral de São Paulo; Aeroporto de Araxá; Panair; Dia da Abolição dos Escravos; Herma de Castro Alves, Rio de Janeiro - DF; Procissão; Mills Brothers	Rio de Janeiro - DF; São Paulo - SP; Araxá - MG	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CB/FI		Realizado inteiramente pela <Cinédia> S.A. Provavelmente distribuído pela Cinédia, embora Cinédia/Arquivo não informe.
CINE JORNAL BRASILEIRO. V.1, N.107	CINE JORNAL BRASILEIRO. 107x1	Cinejornal / Sonoro / Não ficção	35mm, BP, 175m, 24q	1940	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	N	CENS/II Cinédia/Arquivo		Realizado inteiramente pela <Cinédia> S.A.
CINE JORNAL BRASILEIRO. V.1, N.108	CINE JORNAL BRASILEIRO. N.108	Cinejornal / Sonoro / Não ficção	35mm, BP, 24q	1940	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	N	Cinédia/Arquivo JIMS/OESP		Realizado inteiramente pela <Cinédia> S.A.
CINE JORNAL BRASILEIRO. V.1, N.109	CINE JORNAL BRASILEIRO. 1x109	Cinejornal / Sonoro / Não ficção	35mm, BP, 472m, 24q	1940	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	N	CENS/II Cinédia/Arquivo		Realizado inteiramente pela <Cinédia> S.A. Provavelmente distribuído pela Cinédia, embora Cinédia/Arquivo não informe.
CINE JORNAL BRASILEIRO. V.1, N.110	CINE JORNAL BRASILEIRO. N.110	Cinejornal / Sonoro / Não ficção	35mm, BP, 157m, 24q	1940	BR	Rio de Janeiro	DF	"A Construção da Estação Hidromineral de Araxá." "Durante sua excursão em Minas Gerais, o Chefe do Governo visita a 'Bacia do Barreiro', onde está sendo construída a maior estancia hidromineral do continente."	Governo Federal; Obra pública; Turismo	Prefeitura; Grande Hotel de Araxá; Santa Casa de Araxá	Bacia do Barreiro, Araxá - MG; Araxá - MG	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/I		Realizado inteiramente pela <Cinédia> S.A. CENS/I informa que foram produzidas 6 cópias.
CINE JORNAL BRASILEIRO. V.1, N.111	CINE JORNAL BRASILEIRO. N.111	Cinejornal / Sonoro / Não ficção	35mm, BP, 220m, 24q	1940	BR	Rio de Janeiro	DF	"Aeroporto Santos Dumont - Rio: a chegada do Dr. Lutero Vargas." "Polícia Militar - Rio: as festas comemorativas do 131o. aniversário dessa corporação."	Efeméride; Polícia; Exército; Assistência social; Saúde; Aviação; Indústria; Correio; Governo Federal; Obra pública	Aeroporto Santos Dumont; Policia Militar do Distrito Federal; Regimento de Cavalaria da Polícia Militar; Seção de Educação Física D.Pedro II; Escola de Educação Física do Exército; Trabalho; Saúde; Base de Aviação Naval; Correios e Telégrafos, Rio de Janeiro - DF; Estação Distribuidora Barão de Capanema; Panair	Rua Salvador de Sá, Rio de Janeiro - DF; Ilha do Governador, Rio de Janeiro - DF; Rio de Janeiro - DF; Barreto, Niterói - RJ; Niterói - RJ; MG	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/I		Realizado inteiramente na <Cinédia> S.A. Produzidas 6 cópias, segundo CENS/II.
CINE JORNAL BRASILEIRO. V.1, N.112	CINE JORNAL BRASILEIRO. N.112	Cinejornal / Sonoro / Não ficção	35mm, BP, 193m, 24q	1940	BR	Rio de Janeiro	DF	"A Excursão do Chefe do Governo ao Estado de Minas Gerais."	Governo Federal; Obra pública; Rodovia	Ferrovia; Rodovia Uberaba-Belo Horizonte; Palacio da Liberdade, Belo Horizonte - MG; Escola Profissional Feminina, Belo Horizonte - MG; Centro Cívico Getulio Vargas, Belo Horizonte - MG; Praça de Esportes Minas Gerais, Pará de Minas - MG; Fábrica-Escola Benjamim Guimarães, Pará de Minas - MG; Natação; Basquetebol; Voleibol	Melo Viana - MG; Araxá - MG; Uberaba - MG; Belo Horizonte - MG; Pará de Minas - MG; Florestal, Pará de Minas - MG	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CB/FB		Realizado inteiramente pela <Cinédia> S.A. CENS/I informa que foram produzidas 6 cópias.
CINE JORNAL BRASILEIRO. V.1, N.113	O PRESIDENTE GETULIO VARGAS EM BELO HORIZONTE	Cinejornal / Sonoro / Não ficção	35mm, BP, 189m, 24q	1940	BR	Rio de Janeiro	DF	"O Chefe do Governo em Belo Horizonte."	Governo Federal; Obra pública; Governo Estadual; Belo Horizonte - MG	Palácio da Liberdade, Belo Horizonte - MG; Minas Tenis Clube; Instituto Biológico Ezequiel Dias; Feira Permanente de Gado. Feira Permanente de amostras, Belo Horizonte; Sindicato; Centro dos Choferes de Belo Horizonte	Avenida do Contorno, Belo Horizonte - MG; Serra, Belo Horizonte - MG; Floresta, Belo Horizonte - MG; Funcionários, Belo Horizonte - MG; Cruzeiro, Belo Horizonte - MG; Belo Horizonte - MG; Ensino	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/I		Realizado inteiramente pela <Cinédia> S.A. CENS/I informa que foram produzidas 6 cópias.
CINE JORNAL BRASILEIRO. V.1, N.114	CINE JORNAL BRASILEIRO. N.114	Cinejornal / Sonoro / Não ficção	35mm, BP, 163m, 24q	1940	BR	Rio de Janeiro	DF	"O presidente Getulio Vargas no Vale do Rio Doce." "As cidades do interior mineiro acolhem o Chefe do Governo e sua comitiva com manifestações que traduzem a estima que lhe devota o povo de todas as regiões do país."	Governo Federal; Governo Estadual; Vale do Rio Doce - MG	Ferrovia; Estrada de Ferro Vitória-Minas; Agricultura; Pecuária; Grande Hotel, Governador Valadares - MG	Monlevade - MG; Governador Valadares - MG; Vale do Rio Doce - MG	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		Realizado inteiramente pela <Cinédia> S.A.
CINE JORNAL BRASILEIRO. V.1, N.115		Cinejornal / Sonoro / Não ficção	35mm, BP, 177m, 24q	1940	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	N	CENS/II Cinédia/Arquivo		Realizado inteiramente pela <Cinédia> S.A.
CINE JORNAL BRASILEIRO. V.1, N.116	CINE JORNAL BRASILEIRO. N.116	Cinejornal / Sonoro / Não ficção	35mm, BP, 179m, 24q	1940	BR	Rio de Janeiro	DF	"Na Escola Naval - Rio: Uma competição de atletismo promovida pela Liga de Esportes da Marinha." Desfile dos atletas, as provas de saltos e arremesso de discos, platéia de militares. "Mapas Municipais - Rio: O Chefe do Governo inaugura a exposição promovida pelo INGE." Discurso de Getulio diante de multidão, aplausos, a exposição - mapas, fotografias, gráficos, partida do presidente.	Atletismo; Geografia; Exposição; Prefeitura; Saúde; Assistência Social; Governo Estadual; Exército; Turfe	Marinha; Escola Naval; Liga de Esportes da Marinha; Instituto Nacional de Geografia e Estatística; Feira de amostras, 13, Rio de Janeiro; Cartografia; Secretaria de Educação e Saúde do Distrito Federal; Sanatório Naval; Palacio do Catete; Exército; Jockey Clube do Rio de Janeiro; Grande Premio Cruzeiro do Sul; Jamuda - cavalo	Rio de Janeiro - DF; Friburgo - MG; Represa do Dobossam	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CB/FI		Realizado inteiramente pela <Cinédia> S.A. CENS/I informa que foram produzidas 6 cópias.
CINE JORNAL BRASILEIRO. V.1, N.117	CINE JORNAL BRASILEIRO. N.117	Cinejornal / Sonoro / Não ficção	35mm, BP, 10min, 275m, 24q	1940	BR	Rio de Janeiro	DF	"Na Associação dos Artistas Brasileiros - Rio: É inaugurada a exposição de arte Industrial Japonesa." Corte da fita inaugural, os objetos expostos - xícaras, pratos, leques, chinelos, etc. "Associação Comercial - Rio: a posse da nova diretoria." Discursos, a nova diretoria, aplausos e cumprimentos.	Exposição; Decoração; Sindicato; Comércio; Obra pública; Governo Federal; Hospital; Exército; Efeméride; PT; Futebol	Associação dos Artistas Brasileiros; Exposição arte Industrial Japonesa; JP; Arte aplicada; Associação Comercial, Rio de Janeiro; Pavilhão Carlos Frederico; Marinha; Centro de Preparação de Oficiais da Reserva do Distrito Federal; Missa; Centenários de Portugal; Flamengo FR; Fluminense FC; Campeonato Carioca de Futebol	Esplanada do Castelo, Rio de Janeiro - DF; Rio de Janeiro - DF	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CB/FI	JMC/PCP	Realizado inteiramente pela <Cinédia> S.A. CENS/I informa que foram produzidas 6 cópias.
CINE JORNAL BRASILEIRO. V.1, N.118	CINE JORNAL BRASILEIRO. N.118	Cinejornal / Sonoro / Não ficção	35mm, BP, 10min, 272m, 24q	1940	BR	Rio de Janeiro	DF	"Instrução militar da Juventude - Distrito Federal: O acampamento dos tiros de guerra em Jacarepaguá." "Instituto de Educação - Rio: O Chefe do Governo visita o principal estabelecimento de ensino da comunidade."	Exército; Ensino; Esgrima; Marinha; Embarcação; Saúde; Criança; Missa	Inspetoria Geral dos Tiros de Guerra; Fazenda da Taquara; Instituto de Educação, Rio de Janeiro - DF; Flamengo FR; Cananéia - embarcação; Cabedelo - embarcação; Camocim - embarcação; Carioca - embarcação; Mato Grosso - embarcação; Camaquã - embarcação; Caravelas - embarcação; Minas Gerais - embarcação; Centro Médico Pedagógico Osvaldo Cruz; Instituto Osvaldo Cruz	Rio de Janeiro - DF; Jacarepaguá, Rio de Janeiro - DF; Baia da Guanabara; Ilha das Cobras, Rio de Janeiro - DF	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/I		Realizado inteiramente pela <Cinédia> S.A.
